Token OOV,Frekuensi
iconnet,1733
swacam,1239
up3,532
spklu,490
fitur2,442
2x,433
tiba2,387
electrizen,380
sangat2,279
3x,273
repot2,201
benar2,186
mudah2an,170
berkali2,163
apa2,163
ramah2,147
bisa2,137
lain2,132
bener2,131
1x24,130
promo2,129
24jam,123
fitur2nya,121
info2,120
qris,113
bapak2,104
gara2,102
masuk2,95
900va,90
4x,89
muter2,88
jauh2,87
1jam,80
5x,77
100rb,74
r2,73
malam2,72
kira2,60
50rb,55
3jam,54
baik2,52
200rb,51
pln123,51
orang2,50
berjam2,50
4g,49
r1,48
1x,47
20rb,46
buang2,45
rata2,44
tau2,43
30menit,43
ujung2nya,43
muncul2,42
p2tl,42
k3,42
2hari,41
sering2,40
bulan2,40
lama2,39
b1,39
losstrom,39
ribet2,38
bpk2,38
teman2,38
nyala2,37
r1m,37
informasi2,36
500rb,36
10x,36
akhir2,36
v003,35
betul2,35
sehat2,35
2jam,34
icconet,34
50k,33
hati2,33
berhari2,32
keluhan2,32
s2jb,31
sama2,31
sehari2,30
stroomnet,29
jelas2,29
ibu2,29
hal2,29
mudah2,28
450va,28
datang2,28
5rb,28
3hari,28
lancar2,28
masing2,28
berulang2,27
1bulan,27
petugas2,27
iconnetnya,27
abal2,27
ujung2,26
100k,26
susah2,26
kaki2,26
capek2,26
1300va,25
awal2,25
menu2,24
iconcash,24
1jt,23
spbklu,23
listriqu,22
v005,22
2bulan,22
bertele2,22
pencet2,22
v5,21
sia2,21
3x24,21
10menit,21
siap2,20
kadang2,20
berbelit2,20
mentang2,20
5menit,20
malem2,20
5jam,20
450v,20
mudah2n,20
plnmobil,19
program2,19
marah2,19
900v,19
covid19,19
10rb,19
cek2,18
membagongkan,18
oknum2,18
cari2,18
mati2,18
20k,18
cape2,18
300rb,18
kata2,17
klik2,17
boro2,17
dateng2,17
1minggu,17
1x24jam,17
10k,17
5k,17
6x,17
1hari,17
bner2,17
gelap2an,17
itu2,17
15menit,17
2x24,16
5g,16
anak2,16
alat2,16
kemana2,16
900watt,16
mahal2,16
selesai2,16
ngapa2in,16
jam2,15
coba2,15
kelar2,15
2kali,15
v004,15
esp32,15
kendala2,15
r1t,15
m0bile,15
aman2,15
data2,15
keluar2,15
elektrizen,15
masalah2,14
bayar2,14
2minggu,14
kemarin2,14
asal2an,14
12jam,14
30mnt,14
berturut2,14
bnr2,14
6jam,14
5jt,13
barang2,13
tipu2,13
bisa2nya,13
3t,13
100ribu,13
10mnt,13
pagi2,13
cc123,13
sampai2,13
hidup2,13
400rb,13
ganteng2,13
tunggu2,12
rekan2,12
kirim2,12
daerah2,12
kawan2,12
temen2,12
9jt,12
plnobile,12
3bulan,12
abang2,12
4jam,12
mantuull,12
aneh2,12
buru2,12
dikit2,12
b5,11
2jt,11
ke3,11
tanya2,11
kabel2,11
sewaktu2,11
20mbps,11
balik2,11
ulang2,11
gercepnya,11
apa2in,11
200k,11
220v,11
900w,11
update2,11
desa2,11
100x,11
diapa2in,11
10hari,11
20menit,10
org2,10
syarat2,10
q1,10
chat123,10
mobil3,10
petugas2nya,10
3kali,10
200ribu,10
berbulan2,10
tanda2,10
00wib,10
2200va,10
gitu2,10
normal2,10
4hari,10
kita2,10
150rb,10
500k,10
kantor2,9
shoopepay,9
sampe2,9
pasang2,9
9x,9
450w,9
aplikasi2,9
ditunggu2,9
mlm2,9
muda2han,9
apa2an,9
bagus2,9
7x,9
2bln,9
tambadaya,9
produk2,9
mdh2an,9
t4,9
v002,9
banyak2,9
50ribu,9
langkah2,9
inovasi2,9
dtg2,9
bertahun2,9
promo2nya,9
pelosok2,9
cepet2,9
tmn2,8
rumah2,8
4kali,8
spklunya,8
pengaduan2,8
hujan2,8
900kwh,8
satu2nya,8
30hari,8
seolah2,8
respon2,8
ke2,8
l2,8
jangan2,8
macam2,8
petugasnyapun,8
700rb,8
mdh2n,8
terus2an,8
mudah2han,8
3hr,8
jalan2,8
mas2,8
5hari,8
dipasang2,8
calo2,8
sopan2,8
900wat,8
diulang2,8
beda2,8
1bln,8
lapor2,8
5ribu,8
250mb,8
45menit,7
kemudahan2,7
mobilesangat,7
tokenpun,7
sok2an,7
nanya2,7
up2d,7
menu2nya,7
sebelum2nya,7
20ribu,7
mantap2,7
sumoharyanto,7
10a,7
pungli2,7
malu2in,7
5kali,7
m3mbantu,7
20x,7
satsetsatset,7
laporan2,7
enak2,7
yt115,7
v029,7
lain2nya,7
18jt,7
bintang1,7
dimana2,7
gaskeun,7
iconetnya,7
r4,7
600rb,7
bintang2,7
sungguh2,7
iconpay,7
kemaren2,7
nomor2,7
lagi2,7
ganti2,7
embel2,7
bs2,7
pitur2,7
3jt,6
10jam,6
kaleng2,6
abu2,6
300k,6
kali2,6
1thn,6
200an,6
angkat2,6
jaga2,6
7hari,6
abg2,6
elsewedy,6
50jt,6
event2,6
nongol2,6
8jam,6
30rb,6
beres2,6
abangkuhh,6
dikelistrikan,6
buka2,6
biaya2,6
ccs2,6
15mnt,6
pengaduanpun,6
20rbu,6
25rb,6
janji2,6
ragu2,6
syukur2,6
60rb,6
8x,6
0ln,6
jgn2,6
emak2,6
ilang2,6
12malam,6
k2,6
saat2,6
iming2,6
dikirim2,6
v00,6
pikir2,6
gangguan2,6
main2,6
tetangga2,5
isdebes,5
0k,5
u17,5
gagal2,5
plyananya,5
iconett,5
keren2,5
4jt,5
iseng2,5
ar125,5
baca2,5
pusing2,5
1th,5
turun2,5
1pun,5
v2610,5
ecek2,5
8pagi,5
plnmobie,5
bapa2,5
telpon2,5
lampu2,5
3bln,5
isdebest,5
callcenternya,5
250rb,5
kluar2,5
5mnit,5
1hr,5
50mbps,5
tergercep,5
berubah2,5
hari2,5
urus2,5
mana2,5
laki2,5
moga2,5
800rb,5
dulu2,5
sangatbantu,5
proses2,5
55jt,5
450watt,5
nyari2,5
fitu2,5
imformsih,5
sudah2,5
os50,5
gudjob,5
2rb,5
diskon2,5
1juta,5
satu2,5
4bulan,5
gangguanlistrik,5
15rb,5
watwet,5
nunggu2,5
ahir2,5
bentar2,5
subuh2,5
amit2,5
hadiah2,5
pengangaduan,5
5bintang,4
500kb,4
nyambung2,4
surat2,4
ngabis2in,4
10hr,4
tas2nya,4
350rb,4
6jt,4
tahu2,4
semuasemakinmudah,4
x2,4
170v,4
7jam,4
1300watt,4
gerceepp,4
rama2,4
akmalaputri,4
b3,4
stroomnetnya,4
6kali,4
sangt2,4
bacameter,4
g20,4
situ2,4
tanggung2,4
8an,4
700k,4
rame2,4
salah2,4
a71,4
100rbu,4
4x24,4
pelayanancepat,4
3menit,4
masa2,4
liat2,4
orng2,4
nama2,4
5mnt,4
900rb,4
bln2,4
jqr,4
losstro,4
gedor2,4
24jm,4
apl8kasi,4
pascaterhubungnya,4
5d,4
undian2,4
a1,4
manjat2,4
20hari,4
2th,4
lebih2,4
voucher2,4
berbeda2,4
ada2,4
akal2an,4
23rb,4
fiture2,4
300ribu,4
point2,4
2thn,4
s1,4
urusan2,4
tlp123,4
10mbps,4
kakak2,4
rp19,4
up3b,4
2tahun,4
s2,4
70rb,4
bpak2,4
50rbu,4
setengah2,4
pitur2nya,4
berhati2,4
m9bile,4
rp114,4
sensor2,4
icconect,4
10m,4
jeglek2,4
100mbps,4
900kva,4
6bulan,4
300an,4
foto2,4
macem2,4
s23,4
pembeliantoken,3
pa2,3
1m,3
kedip2,3
berkata2,3
titik2,3
gede2,3
isthebest,3
3dulu,3
10thn,3
jam7,3
iklan2,3
15jt,3
ketik2,3
10jt,3
pertokenan,3
parah2,3
3hri,3
ngomel2,3
membelibtoken,3
mutar2,3
46wib,3
diem2,3
30menitan,3
bukti2,3
r1mt,3
lemot2,3
cara2,3
sebaik2nya,3
kenapa2,3
400k,3
putus2,3
c4,3
bagi2,3
1rb,3
neko2,3
t4i,3
ngecek2,3
sikarannuang,3
adik2,3
1x3,3
transaksi2,3
2pagi,3
2x24jam,3
500ribu,3
600an,3
bonus2,3
was2,3
bentak2,3
1300kwh,3
1x6,3
pihak2,3
ngulang2,3
x3,3
tersambung2,3
2menit,3
soliidd,3
swapcamnya,3
bahan2,3
sekali2,3
menuh2in,3
kmrn2,3
agak2,3
d3ngan,3
besok2,3
poin2,3
seakan2,3
vitur2,3
iya2,3
pelayanan2,3
alih2,3
lempar2an,3
180v,3
r15,3
0engaduan,3
swascan,3
idup2,3
diangkat2,3
josjiss,3
aplikasisangat,3
kmaren2,3
1300v,3
5bulan,3
40menit,3
150kv,3
ibuk2,3
12v,3
pura2,3
segercep,3
layanan2,3
mencari2,3
d3,3
direspon2,3
190v,3
awokawok,3
3phase,3
login2,3
kampung2,3
30wib,3
putar2,3
2kli,3
jarang2,3
bank2,3
bintang10,3
panas2an,3
beli2,3
450wat,3
byr2,3
20mnt,3
ujungnya2,3
25k,3
plnmobael,3
baru2,3
b2,3
150v,3
30mbps,3
stromnet,3
1jm,3
100kwh,3
naik2,3
lempar2,3
fungsi2,3
up3tual,3
plnmobaile,3
tagihan2,3
a54,3
tb2,3
20mb,3
mati2in,3
5kwh,3
pelan2,3
cepat2,3
b3st,3
awal2nya,3
rp8,3
pelanggan2,3
2mbps,3
3s,3
5juta,3
daftar2,3
1080p,3
mantappln,3
4bintang,3
brkali2,3
1kwh,3
sodara2,3
pas2an,3
tr451,3
halo2,3
plmobile,3
danpenanganan,3
diskon2nya,3
menunda2,3
langkah2nya,3
350k,3
puter2,3
jau2,3
50persen,3
pilih2,3
saudara2,3
4gb,3
dicari2,3
asik2,3
5mbps,3
bos2,3
30an,3
v001,3
eror2,3
drop2,3
suka2,3
sok2,3
itung2,3
3m,3
aplikas8nya,3
3x24jam,3
i2,3
220volt,3
pegawai2,3
450kwh,3
t41,2
mirip2,2
jam8,2
gaskeuun,2
pascagangguan,2
v10,2
hanupis,2
terobosan2,2
suuiipp,2
magrib2,2
150k,2
listrikrumah,2
2mb,2
400rban,2
abis2in,2
kar4na,2
35mbps,2
gamasuk2,2
goodpln,2
jam10,2
850rb,2
bisaelaporkan,2
9k,2
s3kali,2
tiba3,2
mending2,2
900vol,2
negara2,2
700rbu,2
tr0,2
keplosok2,2
bapak2nya,2
gila2,2
ganguan2,2
4k,2
kacau2,2
9pagi,2
beesstt,2
hilang2,2
dantingkatkan,2
38b,2
2mingguan,2
upgrade2,2
1an,2
75k,2
swacamera,2
minginformasih,2
a10,2
ngisi2,2
120rb,2
12digit,2
allowalet,2
plyannyaa,2
rp324,2
berebetkeun,2
6an,2
propalainer,2
20jt,2
berita2,2
