review_id,model_text,keyakinan,sentimen_pakar1,sentimen_pakar2,sentimen_adjudikasi
DATA-000297265,izin beri saran mungkin bisa tambahkan metode pembayaran qris lebih praktis terima kasih,0.5827,,,
DATA-000126287,mantap aplikasinya sedikit saran mungkin beberapa progam progam pln bisa tambahin jabwal pemadaman kota daerah terima kasih,0.5708,,,
DATA-000165799,saran apabila laporan baiknya segera ditindaklanjuti terima kasih,0.5636,,,
DATA-000110827,saran mungkin bisa diberikan tambahan simulasi biaya pemasangan meteran listrik exim marketplace dekati penyedia energi terbarukan toko elektronik masak kebanyakan dijual makanan padahal pln jualannya listrik bukti dukungan pln sdgs terima kasih,0.5614,,,
DATA-000078879,saran siih update selanjutnya bisa liat berapa kwh tersisa rekening token terima kasih,0.5559,,,
DATA-000122287,butuh informasi pemadaman aplikasi lebih praktis bisa info pemadaman sesuai lokasi masing2 daerah minimal tingkat kecamatan kabupaten terima kasih,0.5516,,,
DATA-000110867,semoga fitur saya bisa lebih mudah mendapatkan informasi perihal kwh meter listrik dirumah,0.5462,,,
DATA-000159654,kedepannya alangkah baiknya informasi adanya pemadaman listrik daerah tempat tinggal,0.546,,,
DATA-000127171,maaf sekedar usul mungkin perlu ditambah fitur sisa kwh jdi bisa mantau hp terima kasih,0.5449,,,
DATA-000034353,aplikasi bagus saran kalo bisa token listrik disediakan berbeda dengan aplikasi mbanking jadi bisa menjadi alternatif pembelian token dengan nilai nominal berbeda,0.5448,,,
DATA-000289939,semoga aplikasi bisa membantu apabila gangguan listrik rumah rusak bisa mengetahui informasi mengenai promosi lainnya,0.5438,,,
DATA-000078928,sekedar masukan ja min bisa kedepannya pengisian kwh bisa melalui aplikasi pln mobile sudah terintegrasi meteran tidak perlu isi nomor token manual meteran sisa kuota kwh bisa ter monitoring aplikasi semoga ditrima baik terima kasih,0.538,,,
DATA-000047054,semoga pln menjadi lebih baik masa masa nunukan sedang defisit listrik mungkin bisa diprioritaskan menimbang lokasi bersampingan negara tetangga terima kasih,0.538,,,
DATA-000104613,mencoba download semoga bisa guanakan baik beli token kedepannya,0.5374,,,
DATA-000160450,semoga tarif pln bisa diturunkan tidak pemadaman bergilir,0.5362,,,
DATA-000034557,aplikasinya bagus saran saran kedepannya segala jenis pengaduan dikenakan tarif biaya mungkin bisa membuat teknisi pln bisa bergerak respon cepat,0.5356,,,
DATA-000022250,saran icon pengaduan ditambahkan kolom buat narasi pengaduan konsumen pengaduan via email telpon terima kasih atas pelayanannya semoga sukses,0.5344,,,
DATA-000125409,saran bisa ditambahi fitur lihat pulsa token listrik biar bisa cek sisa pulsa hp,0.5341,,,
DATA-000118266,udah mendingan dari tahun kemrin sekedar saran mohon metode pembayaran diperluas lebih mudah kedepanya terutama pembayaran lewat dompet digital terima kasih,0.532,,,
DATA-000141426,baik sedikit saran perkembangan aplikasinya coba adakan fitur mengetahui kuota listrik tersisa pengguna token listrik listrik prabayar terima kasih,0.5311,,,
DATA-000103917,saran metode pembayaran bisa tidak ditambahkan metode linkaja gopay dana shopeepay mempermudah pembayaran terima kasih,0.5299,,,
DATA-000060723,sekedar saran untuk fitur swacam mohon untuk bisa dioptimalkan biar loadingnya lebih cepat,0.5282,,,
DATA-000112689,sekedar masukan cantumkan saldo token kwh terima kasih,0.5281,,,
DATA-000105976,maaf saran metode pembayaran tambahin dana biar tambah muda masarakat pedalaman mengunakan aplikasi terima kasih,0.5274,,,
DATA-000124257,kasih bintang dulu soalnya saran fitur harinya tahu berapa pemakaian listrik dirumah oke semoga bermanfaat,0.5266,,,
DATA-000294875,semoga aplikasi bisa mengetahui informasi mengenai apa informasikan pln mengenai promosi tambah daya lain2,0.5259,,,
DATA-000117661,semoga lebih baik mohon perubahan daya pasang baru proses lebih dipermudah khususnya pass mohon lebih cepat sebelumnya terima kasih,0.5251,,,
DATA-000129618,mudah2an dapet token gratis bisa membantu masyarakat tidak mampu kerna gejala corona semoga sukses sllu bapak,0.5243,,,
DATA-000215362,semoga semakin lebih baik saran pencatatan mandiri waktu laporannya mohon diperpanjang akhir bulan,0.5225,,,
DATA-000110488,akhirnya udah bisa dipakai aplikasinya semoga bisa membantu terima kasih,0.5213,,,
DATA-000144791,pengecekan status pengaduan gangguan keluhan kurang jelas penugasan regunya semoga kedepannya bisa lebih baik lagi bintang dulu,0.5212,,,
DATA-000202744,lebih tau caranya daftar listrik baru rumah keren semoga bisa lebih baik kedepannya,0.5206,,,
DATA-000290913,semoga bila terjadi pemadaman petugas bisa cepat mengatasi,0.5205,,,
DATA-000113977,mohon tambahkan fitur wallet via dana transaksi pembanyaran listrik token listriknya terima kasih,0.5197,,,
DATA-000374922,semoga kedepan bisa dilakukan pengisian saldo,0.5194,,,
DATA-000322276,semoga lebih cepat kedepannya penanganan khususnya gampong blang kumat baroh bisa perbaiki bertahap tdak sering sebulan 2x trmkasih,0.5193,,,
DATA-000008576,semoga aplikasinya baik atas saran perbaikan permasalahan permasalahan sebelumnya,0.5191,,,
DATA-000110745,lebih ditingkat kan harap info pemadaman bergilir bisa konfirmasikan,0.5186,,,
DATA-000131276,saran kl bisa chat langsung le cs mya aplikasi sebelumnya cepat ditindak lanjuti keluhan terima kasih semoga pln selalu jaya,0.5178,,,
DATA-000183041,mohon kiranya ditingkatkan info nyala listrik sering terlambat pemberitahuan via aplikasi,0.517,,,
DATA-000034466,semoga tarif listrik tidak naik kondisi inflasi masyarakat membutuhkan bantuan khususnya pln,0.5168,,,
DATA-000382524,perlu memperhatikan kondisi sistem kelistrikan maupun peralatan listrik digunakan mimin tips nih cara mencegah korsleting listrik mengecek postingan berikut yuk disimak,0.5164,,,
DATA-000004442,mohon ditambahkan fitur history pemakaian listrik perbulan monitoring pemakaian listrik tiap bulannya,0.5161,,,
DATA-000139942,semoga pln bisa memberikan solusi bagaimana kedepanya ulasan mohon balas balesan alamat web alamat web sibuk sedang menangani keluhan bagai mana yh memberikan solusi tidak berfungsi bisa mengajukan status menjadi r1t gmna terima kasih,0.5155,,,
DATA-000030589,semoga lbih ditingkatkan lagi playanannya tarif listrik bisa dturunkan,0.5154,,,
DATA-000131128,semakin memudahkan pelanggan memantau pemakaian tiap bulannya memudahkan melakukan transaksi kekurangannya mohon bisa diberika fitur simulasi pbpd bisa ditambahkan mengetahui informasi tdl juga semoga bisa terlaksana kekurangan aplikasi,0.5151,,,
DATA-000219883,semoga hargatoken tidak naik terima kasih,0.5151,,,
DATA-000039453,mohon maaf mengunakan alat listrik wat pada daya listrik turun listrik tambah daya bisa mengunakan alat listrik daya wat terima kasih,0.5146,,,
DATA-000171371,harapan semoga adanya aplikasi bisa membantu kendala meteran sekian terima kasih,0.514,,,
DATA-000007999,alangakah baiknya aplikasi bisa sekalian dompet digitalnya biar sekalian bisa sisi saldo tidak rumit melakuakn pembelian aplikasi,0.5137,,,
DATA-000382772,bahaya kelistrikan bisa terjadi musim hujan cuaca buruk perlu melakukan beberapa tips keamanan listrik berikut arnold jokowi aids,0.5137,,,
DATA-000117940,belum mencoba aplikasi semoga kedepannya aplikasi bisa membantu,0.5133,,,
DATA-000134938,bintang dulu semoga kedepannya bisa lebih baik stand meter perlihatkan bukan total tagihannya,0.5131,,,
DATA-000142859,semoga bisa sarana pengaduan masalah berhubungan pemasangan jaringan listrik antar rumah,0.5128,,,
DATA-000015832,semoga aolikasi bisa memudahkan melakukan pengaduan apabila terjadi gangguan listrik rumah,0.5122,,,
DATA-000134510,masukan sebaiknya bisa membayar indomaret alfamart biaya admin rendah mungkin digratiskan biaya adminnya aplikasi pln mobile token semoga bisa depannya,0.5112,,,
DATA-000047736,semoga kedepan nya tiap aduan konsumen dapat kerjakan tindak lanjuti jngan riwayat status update tidak dtng tidak pengerjaan laporan pengadun batalkan,0.5108,,,
DATA-000017326,semoga tarif pln 450v tidak dinaikkan menjadi mengingat masyarakat kecil,0.5108,,,
DATA-000119810,semoga kedepan bisa bantu kendala dengan meterannya,0.5105,,,
DATA-000034917,belum adanya fitur top up saldo pln mobile semoga kedepannya bisa tambah fitur top up saldo pln mobile,0.5099,,,
