Kata,Frekuensi,Jumlah Subtoken
petugasnya,3476,2
membatu,2488,2
responnya,2451,2
fiturnya,2321,2
iconnet,1733,2
mantapp,1660,2
direspon,1309,2
swacam,1239,2
ganguan,1218,2
ulp,1147,2
tanggapi,960,2
pelayananya,866,2
listriknya,852,2
terimakasi,825,3
baguss,796,2
layanannya,772,2
terimah,750,2
sngat,738,2
mantul,734,2
aplikasih,704,2
memudah,685,2
pokonya,646,2
bangett,619,2
mantaap,601,3
pascabayar,575,2
terimaksih,555,3
pengaduannya,552,2
penyambungan,535,3
up3,532,2
pelangan,527,2
tokennya,508,2
mcb,502,2
permudah,493,2
spklu,490,3
adminnya,481,2
mobail,473,2
lgsg,467,2
notif,461,2
bgus,455,2
fitur2,442,2
plng,433,2
2x,433,2
refund,430,2
promonya,428,2
apknya,425,2
kekantor,421,2
sangan,415,2
kmi,403,2
mobel,402,2
otp,401,2
responya,398,2
trimakasi,396,3
gabisa,388,2
tiba2,387,2
slo,386,2
electrizen,380,2
kerenn,380,2
markotop,375,2
diaplikasi,369,2
pdhl,367,2
plg,357,2
dipermudah,351,2
nataru,351,2
tertangani,342,2
trimaksih,340,3
ngecek,337,2
cekatan,333,2
apliksi,333,2
trmksh,312,3
terbaikk,306,2
playanan,305,2
pelayannya,302,2
sanggat,301,2
sangt,300,2
mmbntu,298,3
smakin,297,2
komplen,296,2
sangat2,279,2
tamba,273,2
3x,273,2
lngsung,272,2
trouble,271,2
sllu,270,2
listri,270,2
benerin,267,2
mmbantu,265,3
sekalii,262,2
sangatt,260,2
telfon,257,2
gangguannya,253,2
suda,252,2
ngk,247,2
mempermudahkan,247,2
membntu,246,3
ngebantu,243,2
mantaapp,243,3
batalkan,242,2
planggan,241,3
histori,237,2
mengadukan,235,2
mantabb,234,2
bnget,234,2
menunya,233,2
dimudahkan,232,2
bngt,226,2
tercover,226,2
mudahkan,225,2
terimkasih,223,3
struk,222,2
gopay,222,2
nyaa,220,2
cikupa,218,2
mdh,217,2
yantek,217,2
penangannya,213,2
kepotong,212,3
pakek,212,2
ngadu,212,2
keandalan,209,3
penangananya,209,2
sagat,206,2
knpa,204,2
mantaf,204,2
nidi,203,2
mntap,203,3
kereen,202,2
lbih,201,2
repot2,201,2
gesit,200,2
kedepanya,200,2
gandos,200,2
linkaja,198,2
ksih,197,2
cepatt,197,2
perlistrikan,194,2
plnnya,194,2
recomended,192,2
transaksinya,191,2
tamiang,188,2
ovo,187,2
membantuu,186,2
benar2,186,2
lwt,185,2
skli,184,2
menbantu,181,3
masarakat,179,3
aplkasi,179,3
dlam,178,2
pokoke,177,2
teknisinya,175,2
teruss,174,2
perbaikannya,173,2
rekomended,171,2
pisan,171,2
mudah2an,170,3
uninstall,168,4
tanggapannya,167,2
solutif,167,2
gardu,167,2
smkin,167,2
gaada,165,2
rajapolah,165,3
bangat,165,2
apa2,163,2
berkali2,163,2
gada,162,2
pdhal,161,2
smg,160,2
mobilenya,160,2
tagihannya,160,2
smpe,159,2
dngn,158,2
cpat,158,2
dayanya,158,2
pelayana,157,2
lapangannya,157,2
trm,156,2
siip,156,2
tambahin,155,2
bintangnya,155,2
bayarnya,154,2
uid,153,2
costumer,153,2
ketidaknyamanannya,153,2
kren,152,2
nuhun,152,2
dngan,151,2
digitalisasi,151,2
garcep,149,3
listik,148,2
nggk,148,2
ramah2,147,2
sdah,146,2
pelyanan,145,3
persulit,145,2
semangkin,144,3
sipp,144,2
mambantu,142,3
mobille,141,2
sll,141,2
voltase,140,2
tmbh,140,2
pelanggang,140,2
plgn,140,2
pandemi,139,2
plnggan,139,3
perbarui,138,2
bisa2,137,2
keluhannya,136,2
smpai,136,2
terdampak,136,2
kluar,135,2
trimah,134,2
lansung,134,2
mebantu,134,2
banca,134,2
ptugas,133,3
aplikas,132,2
lain2,132,2
bener2,131,2
mempermuda,131,2
1x24,130,3
moble,130,2
urgent,129,2
promo2,129,2
okee,129,2
invoice,128,3
plm,128,2
lampunya,127,2
tlpn,126,2
plyanan,126,3
tindaklanjuti,126,2
dehh,124,2
luarbiasa,123,2
responsip,123,2
24jam,123,2
mslh,122,2
amplikasi,122,2
layananya,122,2
ditelpon,122,2
jayalah,121,2
fitur2nya,121,3
hatur,121,2
bantuanya,121,2
rekomen,120,2
info2,120,2
complain,119,2
trimkasih,119,3
pegawainya,119,2
poll,119,2
jooss,118,2
sampek,118,2
lsg,118,2
masang,117,2
meternya,117,2
dtng,116,2
pencet,116,2
terlayani,116,2
overall,116,2
uninstal,116,3
charging,115,2
gimna,115,2
bsi,115,2
lahh,114,2
ngurusin,114,2
shopee,114,2
qris,113,2
gajelas,113,2
poko,113,2
hrus,112,2
tamah,112,2
percepat,112,2
mksih,111,2
negerimu,111,2
listrikan,111,2
pdahal,110,2
direkomendasikan,110,2
sejam,109,2
pelnggan,108,3
masalh,108,2
meterannya,108,2
covid,107,2
maksih,107,2
joki,106,2
andalkan,106,2
sudh,106,2
kereenn,105,3
dengn,105,2
aplikasiny,105,2
dipersulit,105,2
mks,105,2
bapak2,104,2
skarang,104,2
mudahh,104,2
wallet,103,2
servernya,103,2
mbantu,103,3
bertele,103,2
restitusi,102,3
selfi,102,2
klistrikan,102,3
gara2,102,2
trimksh,102,3
terangi,102,2
tangap,101,2
mbanking,101,3
saldonya,101,2
tanganin,101,2
kendalanya,100,2
aflikasi,99,2
lamaa,99,2
memudakan,99,2
sawangan,99,2
nyah,99,2
memudahkn,99,3
lgsung,98,2
menginformasikan,98,3
smga,98,2
memuas,97,2
penggunaanya,97,2
loadingnya,97,2
gercep,96,3
vocer,96,2
apkikasi,96,2
aplikasix,96,2
respont,96,2
sangant,95,2
tdak,95,2
shopeepay,95,3
masuk2,95,2
baikk,95,2
pitur,94,2
dpat,94,2
tele,94,2
mantaps,94,2
bana,94,2
bobrok,94,2
chatnya,94,2
efesien,94,2
stelah,94,2
terverifikasi,94,2
internetnya,93,2
konslet,93,2
kebuka,93,2
mager,92,2
lacak,92,2
topp,92,2
terbayar,92,2
erorr,92,2
matap,91,2
pinjol,90,2
rebahan,90,2
900va,90,2
berbelit,89,2
bgs,89,2
mantabs,89,2
jaringannya,89,2
4x,89,2
muter2,88,2
kirain,88,2
penormalan,88,3
tenan,88,2
goodjob,88,2
mkasih,88,2
briva,88,2
becus,88,2
tlong,87,2
jauh2,87,2
konter,87,2
appnya,86,2
ngabisin,86,2
lagii,86,2
plggn,86,3
padamnya,86,2
sangaat,85,2
sihh,85,2
diinfokan,85,3
penguna,85,2
stiap,85,2
byar,85,2
aksesnya,84,2
cmn,83,2
aplilasi,83,2
tolonglah,83,2
nyusahin,82,3
naikin,82,2
taglis,82,2
daftarnya,82,2
operasikan,82,2
hadeh,82,2
bangus,82,2
nmr,81,2
servicenya,81,2
rancak,81,2
skrang,81,2
benahi,80,2
mencek,80,2
gagguan,80,3
matiin,80,2
tlpon,80,2
1jam,80,2
stroom,80,2
notifikasinya,79,2
bilangnya,79,2
inii,79,2
lgs,79,2
pelanyanan,79,3
adaya,79,2
ngelag,78,2
mibile,78,3
mlh,78,2
mantaplah,78,2
pngaduan,77,2
csnya,77,2
5x,77,2
joos,77,2
masyrakat,77,3
mkin,77,2
mobike,76,2
tmbah,76,2
kelokasi,76,2
bestt,75,2
donlod,75,3
banyakin,75,2
ktr,75,2
balikin,75,2
sanga,74,2
splu,74,2
pangkalpinang,74,2
msalah,74,2
100rb,74,2
bagusan,74,2
konfirmasinya,74,2
apliaksi,74,3
r2,73,2
pemasangannya,73,2
satpamnya,73,2
ubur,73,2
berlistrik,72,2
ndk,72,2
pulihkan,72,2
excellent,72,2
vitur,72,2
amiin,72,2
trobel,72,2
malam2,72,2
batre,72,2
aplikadi,71,2
kerjasamanya,71,2
tanggapin,71,2
pelistrikan,71,2
adukan,71,2
woy,71,2
fastrespon,71,3
perbaharui,70,4
sangar,70,2
lebi,70,2
msih,70,2
ruwet,70,2
sii,70,2
benderang,70,2
pegaduan,70,2
puass,70,2
biasaa,70,2
pancen,70,2
apikasi,69,2
kct,69,2
pending,69,2
jozz,69,2
dihati,69,2
terangkanlah,69,2
terbantukan,69,2
bayak,68,2
okey,68,2
ngecas,68,2
aplikaai,68,3
verivikasi,68,3
dowload,67,2
fiture,67,2
mantaab,67,3
pulsanya,67,2
drmh,67,2
stlh,67,2
gausah,66,2
