Istilah kelistrikan,Frekuensi corpus domain,Frekuensi Indo4B,Per sejuta corpus domain,Per sejuta Indo4B,Rasio kepekatan,Log likelihood,Signifikan
pln,183736,114458,60501.69,34.94,1731.65,2169665.2,ya
listrik,52612,568843,17324.39,173.64,99.77,375538.13,ya
pengaduan,25125,27064,8273.31,8.26,1001.44,278742.18,ya
token,21640,33685,7125.75,10.28,693.0,228296.74,ya
gangguan,23390,429370,7702.0,131.07,58.76,143366.96,ya
pelanggan,23049,562128,7589.71,171.59,44.23,128739.14,ya
petugas,18714,337913,6162.26,103.15,59.74,115296.39,ya
tagihan,10335,72240,3403.17,22.05,154.33,82228.08,ya
pembayaran,11636,506469,3831.57,154.6,24.78,52130.08,ya
padam,5616,23488,1849.27,7.17,257.92,49942.51,ya
keluhan,7345,161949,2418.61,49.44,48.92,42443.67,ya
daya,12193,1035080,4014.98,315.96,12.71,39404.94,ya
kwh,3429,10621,1129.12,3.24,348.27,32303.64,ya
pemadaman,3420,18918,1126.16,5.77,195.01,28685.1,ya
meteran,2948,12089,970.74,3.69,263.06,26319.86,ya
iconnet,1733,0,570.65,0.0,,24208.15,ya
transaksi,6347,500636,2089.98,152.82,13.68,21368.33,ya
swacam,1239,0,407.99,0.0,,17307.5,ya
meter,3751,407790,1235.15,124.48,9.92,10441.9,ya
promo,3261,367142,1073.8,112.07,9.58,8874.1,ya
ulp,1147,9324,377.69,2.85,132.7,8803.05,ya
spklu,491,0,161.68,0.0,,6858.74,ya
login,1719,127969,566.04,39.06,14.49,5970.81,ya
pascabayar,575,2485,189.34,0.76,249.6,5079.7,ya
prabayar,652,13534,214.69,4.13,51.97,3842.98,ya
mcb,502,4591,165.3,1.4,117.95,3741.81,ya
teknisi,911,48367,299.98,14.76,20.32,3739.23,ya
migrasi,697,25980,229.51,7.93,28.94,3328.05,ya
verifikasi,1103,107435,363.2,32.79,11.07,3288.59,ya
otp,401,2545,132.04,0.78,169.97,3262.12,ya
ktp,789,118729,259.81,36.24,7.17,1746.45,ya
qris,113,0,37.21,0.0,,1578.49,ya
jaringan,1961,819722,645.73,250.22,2.58,1314.2,ya
uid,153,797,50.38,0.24,207.08,1300.04,ya
website,71,944201,23.38,288.22,0.08,1251.21,ya
kabel,829,232375,272.98,70.93,3.85,1005.62,ya
diskon,965,314796,317.76,96.09,3.31,960.46,ya
nik,240,16270,79.03,4.97,15.91,875.28,ya
sambungan,330,49320,108.66,15.06,7.22,734.33,ya
iconnect,57,26,18.77,0.01,2364.9,693.08,ya
stroom,81,503,26.67,0.15,173.71,662.19,ya
gardu,168,12041,55.32,3.68,15.05,595.33,ya
splu,74,953,24.37,0.29,83.76,503.64,ya
tiang,374,101564,123.15,31.0,3.97,471.29,ya
server,561,250898,184.73,76.59,2.41,330.62,ya
spbklu,23,0,7.57,0.0,,321.29,ya
listriqu,22,0,7.24,0.0,,307.32,ya
reward,136,28176,44.78,8.6,5.21,228.6,ya
instalatir,27,469,8.89,0.14,62.1,168.35,ya
tegangan,230,92709,75.74,28.3,2.68,164.48,ya
trafo,73,12136,24.04,3.7,6.49,149.22,ya
payment,89,19874,29.31,6.07,4.83,138.95,ya
operator,317,170539,104.38,52.06,2.01,123.12,ya
stimulus,100,29175,32.93,8.91,3.7,115.44,ya
marketplace,363,251343,119.53,76.72,1.56,61.82,ya
registrasi,188,111113,61.91,33.92,1.83,56.17,ya
strum,11,875,3.62,0.27,13.56,36.86,ya
privasi,28,63236,9.22,19.3,0.48,19.85,ya
antarmuka,50,26948,16.46,8.23,2.0,19.33,ya
unit,548,513336,180.45,156.7,1.15,10.41,tidak
dana,847,820733,278.91,250.53,1.11,9.4,tidak
hadiah,390,359912,128.42,109.86,1.17,9.02,tidak
pendaftaran,390,481950,128.42,147.12,0.87,7.54,tidak
poin,311,386451,102.41,117.97,0.87,6.52,tidak
arus,191,238596,62.89,72.83,0.86,4.32,tidak
submit,21,14988,6.92,4.58,1.51,3.13,tidak
gps,72,62769,23.71,19.16,1.24,3.04,tidak
mendaftar,205,243433,67.5,74.31,0.91,1.95,tidak
