Istilah,Frekuensi korpus domain-spesifik,Frekuensi Indo4B,Per sejuta korpus domain-spesifik,Per sejuta Indo4B,Log likelihood,Lebih khas pada,Signifikan,Istilah kelistrikan
pln,183736,114458,60501.69,34.94,2169665.2,Domain-spesifik,ya,ya
mobile,96427,206473,31752.06,63.03,968365.9,Domain-spesifik,ya,tidak
aplikasi,106976,1674123,35225.7,511.03,688333.55,Domain-spesifik,ya,tidak
sangat,135529,8446007,44627.8,2578.18,515542.34,Domain-spesifik,ya,tidak
membantu,79008,1954691,26016.23,596.68,439127.46,Domain-spesifik,ya,tidak
listrik,52612,568843,17324.39,173.64,375538.13,Domain-spesifik,ya,ya
kasih,60225,1136200,19831.25,346.83,365992.22,Domain-spesifik,ya,tidak
terima,56603,886416,18638.57,270.58,364136.18,Domain-spesifik,ya,tidak
cepat,66341,2139038,21845.16,652.95,335113.17,Domain-spesifik,ya,tidak
pengaduan,25125,27064,8273.31,8.26,278742.18,Domain-spesifik,ya,ya
mantap,26646,98497,8774.15,30.07,242799.06,Domain-spesifik,ya,tidak
pelayanan,40297,800944,13269.24,244.49,240864.99,Domain-spesifik,ya,tidak
token,21640,33685,7125.75,10.28,228296.74,Domain-spesifik,ya,ya
mudah,50892,2901593,16758.02,885.72,202068.14,Domain-spesifik,ya,tidak
aplikasinya,17272,42851,5687.43,13.08,169239.64,Domain-spesifik,ya,tidak
kelistrikan,15434,18356,5082.2,5.6,169040.54,Domain-spesifik,ya,tidak
respon,19979,154513,6578.8,47.17,155196.9,Domain-spesifik,ya,tidak
gangguan,23390,429370,7702.0,131.07,143366.96,Domain-spesifik,ya,ya
dan,836,81509475,275.28,24881.12,141850.37,Indo4B,ya,tidak
bagus,31188,1519149,10269.77,463.73,133081.03,Domain-spesifik,ya,tidak
pelanggan,23049,562128,7589.71,171.59,128739.14,Domain-spesifik,ya,ya
memudahkan,18997,299726,6255.45,91.49,121939.97,Domain-spesifik,ya,tidak
petugas,18714,337913,6162.26,103.15,115296.39,Domain-spesifik,ya,ya
tagihan,10335,72240,3403.17,22.05,82228.08,Domain-spesifik,ya,ya
tanggap,7887,29691,2597.08,9.06,71612.63,Domain-spesifik,ya,tidak
mempermudah,10632,144130,3500.97,44.0,71323.04,Domain-spesifik,ya,tidak
lapor,6698,21908,2205.56,6.69,62467.5,Domain-spesifik,ya,tidak
pelayanannya,6783,29075,2233.55,8.88,60022.37,Domain-spesifik,ya,tidak
ramah,10619,295703,3496.69,90.26,56616.49,Domain-spesifik,ya,tidak
untuk,3370,41450838,1109.69,12653.05,53677.88,Indo4B,ya,tidak
pembayaran,11636,506469,3831.57,154.6,52130.08,Domain-spesifik,ya,ya
padam,5616,23488,1849.27,7.17,49942.51,Domain-spesifik,ya,ya
dari,2060,34685589,678.33,10587.92,48841.2,Indo4B,ya,tidak
bayar,8620,204611,2838.45,62.46,48593.65,Domain-spesifik,ya,tidak
dengan,6269,45550686,2064.29,13904.54,47970.99,Indo4B,ya,tidak
tambah,8887,247348,2926.36,75.5,47390.69,Domain-spesifik,ya,tidak
laporan,10866,528510,3578.02,161.33,46395.61,Domain-spesifik,ya,tidak
makin,9932,431363,3270.47,131.68,44536.95,Domain-spesifik,ya,tidak
sekali,18347,2534822,6041.41,773.77,43315.73,Domain-spesifik,ya,tidak
keluhan,7345,161949,2418.61,49.44,42443.67,Domain-spesifik,ya,ya
daya,12193,1035080,4014.98,315.96,39404.94,Domain-spesifik,ya,ya
semakin,15996,2087358,5267.26,637.17,39357.8,Domain-spesifik,ya,tidak
banget,10101,610877,3326.12,186.47,38990.2,Domain-spesifik,ya,tidak
semoga,12367,1142284,4072.28,348.69,38063.18,Domain-spesifik,ya,tidak
petugasnya,3476,5093,1144.6,1.55,36993.24,Domain-spesifik,ya,tidak
memuaskan,6506,211092,2142.33,64.44,32786.38,Domain-spesifik,ya,tidak
fitur,9924,830379,3267.83,253.48,32334.7,Domain-spesifik,ya,tidak
kwh,3429,10621,1129.12,3.24,32303.64,Domain-spesifik,ya,ya
pemadaman,3420,18918,1126.16,5.77,28685.1,Domain-spesifik,ya,ya
pembelian,6688,331355,2202.26,101.15,28323.29,Domain-spesifik,ya,tidak
pasang,7020,389816,2311.59,118.99,28221.16,Domain-spesifik,ya,tidak
layanan,9904,1065312,3261.25,325.19,27759.18,Domain-spesifik,ya,tidak
penanganan,5357,166365,1763.98,50.78,27444.22,Domain-spesifik,ya,tidak
dalam,2873,24238174,946.04,7398.81,27358.33,Indo4B,ya,tidak
beli,8483,741165,2793.33,226.24,26968.47,Domain-spesifik,ya,tidak
meteran,2948,12089,970.74,3.69,26319.86,Domain-spesifik,ya,ya
terbaik,12915,2230955,4252.73,681.01,25567.54,Domain-spesifik,ya,tidak
fast,3640,45552,1198.6,13.9,24972.27,Domain-spesifik,ya,tidak
bermanfaat,8322,811629,2740.32,247.75,24792.6,Domain-spesifik,ya,tidak
pakai,7060,536803,2324.76,163.86,24246.62,Domain-spesifik,ya,tidak
iconnet,1733,0,570.65,0.0,24208.15,Domain-spesifik,ya,ya
responnya,2451,6477,807.08,1.98,23755.65,Domain-spesifik,ya,tidak
ada,657,15717753,216.34,4797.91,23742.8,Indo4B,ya,tidak
terus,11716,2015252,3857.91,615.16,23277.33,Domain-spesifik,ya,tidak
terbantu,3089,27834,1017.16,8.5,23111.02,Domain-spesifik,ya,tidak
keren,5533,287829,1821.94,87.86,22922.97,Domain-spesifik,ya,tidak
rumit,4324,125230,1423.83,38.23,22729.18,Domain-spesifik,ya,tidak
membatu,2488,9087,819.26,2.77,22723.43,Domain-spesifik,ya,tidak
baik,21591,7029809,7109.61,2145.88,21546.91,Domain-spesifik,ya,tidak
buat,10313,1672049,3395.93,510.4,21517.33,Domain-spesifik,ya,tidak
transaksi,6347,500636,2089.98,152.82,21368.33,Domain-spesifik,ya,ya
urusan,5246,288828,1727.43,88.17,21173.76,Domain-spesifik,ya,tidak
mantapp,1660,560,546.61,0.17,20681.76,Domain-spesifik,ya,tidak
pelaporan,3260,57073,1073.47,17.42,20277.53,Domain-spesifik,ya,tidak
dapat,820,14197810,270.01,4333.94,20120.31,Indo4B,ya,tidak
juga,1598,16201897,526.2,4945.7,19670.88,Indo4B,ya,tidak
kendala,3892,146737,1281.58,44.79,18498.93,Domain-spesifik,ya,tidak
alhamdulillah,4138,181670,1362.59,55.46,18470.88,Domain-spesifik,ya,tidak
fiturnya,2321,17102,764.27,5.22,18238.94,Domain-spesifik,ya,tidak
mohon,5177,376274,1704.71,114.86,18211.34,Domain-spesifik,ya,tidak
swacam,1239,0,407.99,0.0,17307.5,Domain-spesifik,ya,ya
langsung,11413,2677547,3758.14,817.33,16932.65,Domain-spesifik,ya,tidak
udah,5827,596741,1918.75,182.16,16845.95,Domain-spesifik,ya,tidak
pulsa,4472,288497,1472.57,88.06,16722.41,Domain-spesifik,ya,tidak
berguna,4861,368472,1600.66,112.48,16721.96,Domain-spesifik,ya,tidak
praktis,4294,262672,1413.95,80.18,16483.19,Domain-spesifik,ya,tidak
sigap,2093,16233,689.2,4.96,16247.29,Domain-spesifik,ya,tidak
cek,4482,318719,1475.86,97.29,15947.99,Domain-spesifik,ya,tidak
puas,4268,278396,1405.39,84.98,15871.65,Domain-spesifik,ya,tidak
mantab,1984,14212,653.3,4.34,15694.9,Domain-spesifik,ya,tidak
lewat,5975,722211,1967.48,220.46,15506.36,Domain-spesifik,ya,tidak
gerak,3554,171121,1170.28,52.24,15242.87,Domain-spesifik,ya,tidak
update,4072,263043,1340.85,80.29,15216.54,Domain-spesifik,ya,tidak
jaya,3694,208727,1216.38,63.71,14729.49,Domain-spesifik,ya,tidak
good,2721,74013,895.99,22.59,14629.54,Domain-spesifik,ya,tidak
bisa,36915,19747703,12155.59,6028.07,14547.04,Domain-spesifik,ya,tidak
adanya,8432,1734158,2776.54,529.36,14273.0,Domain-spesifik,ya,tidak
nyala,2195,35441,722.78,10.82,13992.64,Domain-spesifik,ya,tidak
tingkatkan,2282,43432,751.43,13.26,13829.52,Domain-spesifik,ya,tidak
tidak,45193,26769589,14881.42,8171.53,13412.87,Domain-spesifik,ya,tidak
lebih,26076,12527183,8586.46,3823.98,13242.73,Domain-spesifik,ya,tidak
masalah,9405,2318693,3096.93,707.79,13230.21,Domain-spesifik,ya,tidak
melapor,1956,27360,644.08,8.35,13004.74,Domain-spesifik,ya,tidak
best,2969,139012,977.65,42.43,12890.85,Domain-spesifik,ya,tidak
cepet,1956,32415,644.08,9.89,12371.77,Domain-spesifik,ya,tidak
app,2307,63688,759.66,19.44,12338.29,Domain-spesifik,ya,tidak
error,2450,81733,806.75,24.95,12216.51,Domain-spesifik,ya,tidak
mau,9099,2396089,2996.17,731.42,11885.88,Domain-spesifik,ya,tidak
lamban,1603,15675,527.85,4.78,11746.34,Domain-spesifik,ya,tidak
pokoknya,2460,92724,810.04,28.3,11693.73,Domain-spesifik,ya,tidak
mati,5102,765563,1680.02,233.69,11318.23,Domain-spesifik,ya,tidak
ganguan,1220,4140,401.73,1.26,11299.83,Domain-spesifik,ya,tidak
teratasi,1739,26764,572.63,8.17,11244.97,Domain-spesifik,ya,tidak
baru,12902,4679816,4248.45,1428.53,10980.82,Domain-spesifik,ya,tidak
selalu,9087,2558541,2992.22,781.01,10963.16,Domain-spesifik,ya,tidak
sukses,4616,647660,1519.98,197.7,10774.47,Domain-spesifik,ya,tidak
meter,3751,407790,1235.15,124.48,10441.9,Domain-spesifik,ya,ya
direspon,1312,9272,432.02,2.83,10411.86,Domain-spesifik,ya,tidak
perbaiki,1801,40117,593.04,12.25,10372.05,Domain-spesifik,ya,tidak
gampang,3243,286581,1067.87,87.48,10242.6,Domain-spesifik,ya,tidak
orang,2300,11884743,757.36,3627.87,10222.17,Indo4B,ya,tidak
maju,3447,341550,1135.05,104.26,10170.42,Domain-spesifik,ya,tidak
lampu,3372,328870,1110.35,100.39,10045.64,Domain-spesifik,ya,tidak
admin,3281,311250,1080.39,95.01,9939.22,Domain-spesifik,ya,tidak
responsif,1577,26660,519.28,8.14,9914.53,Domain-spesifik,ya,tidak
genggaman,1443,18642,475.16,5.69,9812.4,Domain-spesifik,ya,tidak
tahun,1011,8603803,332.91,2626.35,9747.73,Indo4B,ya,tidak
padahal,4444,679211,1463.35,207.33,9718.49,Domain-spesifik,ya,tidak
pelayananya,866,865,285.16,0.26,9699.02,Domain-spesifik,ya,tidak
semua,13875,5671046,4568.84,1731.11,9682.53,Domain-spesifik,ya,tidak
lengkap,4913,866023,1617.78,264.36,9560.08,Domain-spesifik,ya,tidak
pemasangan,2536,165942,835.07,50.65,9415.87,Domain-spesifik,ya,tidak
aplikasih,704,73,231.82,0.02,9350.06,Domain-spesifik,ya,tidak
top,2577,188909,848.57,57.67,9024.44,Domain-spesifik,ya,tidak
baguss,796,726,262.11,0.22,9013.89,Domain-spesifik,ya,tidak
trima,1200,11028,395.14,3.37,8933.59,Domain-spesifik,ya,tidak
melaporkan,2316,141925,762.63,43.32,8882.66,Domain-spesifik,ya,tidak
promo,3261,367142,1073.8,112.07,8874.1,Domain-spesifik,ya,ya
ulp,1147,9324,377.69,2.85,8803.05,Domain-spesifik,ya,ya
kedepannya,1854,71169,610.5,21.72,8748.68,Domain-spesifik,ya,tidak
oke,2989,304130,984.24,92.84,8676.05,Domain-spesifik,ya,tidak
mantul,735,591,242.03,0.18,8445.7,Domain-spesifik,ya,tidak
terimakasi,825,1695,271.66,0.52,8340.67,Domain-spesifik,ya,tidak
tanggapi,960,4658,316.11,1.42,8280.83,Domain-spesifik,ya,tidak
bintang,3427,459082,1128.46,140.14,8274.99,Domain-spesifik,ya,tidak
chat,1864,91467,613.79,27.92,7927.8,Domain-spesifik,ya,tidak
menjadi,2732,11109137,899.61,3391.11,7877.14,Indo4B,ya,tidak
justru,3481,513744,1146.24,156.82,7821.31,Domain-spesifik,ya,tidak
pengajuan,1625,59531,535.09,18.17,7812.65,Domain-spesifik,ya,tidak
ditanggapi,1147,16798,377.69,5.13,7525.55,Domain-spesifik,ya,tidak
kemudahan,2413,224394,794.57,68.5,7397.0,Domain-spesifik,ya,tidak
via,2528,255678,832.43,78.05,7365.37,Domain-spesifik,ya,tidak
catat,1290,30267,424.78,9.24,7300.82,Domain-spesifik,ya,tidak
saldo,1776,95341,584.81,29.1,7252.66,Domain-spesifik,ya,tidak
memudah,685,1044,225.56,0.32,7248.83,Domain-spesifik,ya,tidak
mantaap,601,348,197.9,0.11,7148.65,Domain-spesifik,ya,tidak
kantor,4242,881665,1396.83,269.13,7108.47,Domain-spesifik,ya,tidak
penanganannya,1016,12445,334.55,3.8,7011.65,Domain-spesifik,ya,tidak
spklu,491,0,161.68,0.0,6858.74,Domain-spesifik,ya,ya
kak,1841,123669,606.22,37.75,6745.43,Domain-spesifik,ya,tidak
isi,3385,582197,1114.63,177.72,6725.82,Domain-spesifik,ya,tidak
sngat,740,3020,243.67,0.92,6613.09,Domain-spesifik,ya,tidak
tangani,1207,31331,397.45,9.56,6597.52,Domain-spesifik,ya,tidak
permohonan,1795,120701,591.07,36.84,6573.5,Domain-spesifik,ya,tidak
dirumah,1728,107830,569.01,32.92,6568.9,Domain-spesifik,ya,tidak
jam,5876,1783375,1934.88,544.38,6447.76,Domain-spesifik,ya,tidak
bertransaksi,1270,42105,418.19,12.85,6347.72,Domain-spesifik,ya,tidak
terimah,750,4054,246.96,1.24,6322.22,Domain-spesifik,ya,tidak
gagal,2665,366251,877.55,111.8,6316.37,Domain-spesifik,ya,tidak
lanjuti,935,12483,307.88,3.81,6299.48,Domain-spesifik,ya,tidak
nunggu,1227,38630,404.03,11.79,6253.93,Domain-spesifik,ya,tidak
ditangani,1644,104785,541.35,31.99,6184.53,Domain-spesifik,ya,tidak
pengaduannya,552,629,181.77,0.19,6079.82,Domain-spesifik,ya,tidak
sat,1070,25103,352.34,7.66,6055.89,Domain-spesifik,ya,tidak
komplain,1004,19581,330.6,5.98,6037.57,Domain-spesifik,ya,tidak
listriknya,852,9789,280.55,2.99,5983.38,Domain-spesifik,ya,tidak
login,1719,127969,566.04,39.06,5970.81,Domain-spesifik,ya,ya
sudah,3175,10453871,1045.48,3191.09,5941.95,Indo4B,ya,tidak
bangett,619,1797,203.83,0.55,5900.43,Domain-spesifik,ya,tidak
tokennya,508,507,167.28,0.15,5690.07,Domain-spesifik,ya,tidak
pengecekan,1221,48579,402.06,14.83,5678.49,Domain-spesifik,ya,tidak
saya,4473,12452446,1472.9,3801.16,5655.8,Indo4B,ya,tidak
pertahankan,944,18794,310.85,5.74,5639.53,Domain-spesifik,ya,tidak
satu,2595,9132752,854.5,2787.81,5601.52,Indo4B,ya,tidak
proses,6560,2380559,2160.12,726.68,5579.11,Domain-spesifik,ya,tidak
diperbaiki,1354,73439,445.85,22.42,5503.11,Domain-spesifik,ya,tidak
datang,5393,1742906,1775.84,532.03,5437.92,Domain-spesifik,ya,tidak
jos,798,10469,262.77,3.2,5403.06,Domain-spesifik,ya,tidak
susah,2419,364215,796.54,111.18,5352.14,Domain-spesifik,ya,tidak
karna,1926,218433,634.2,66.68,5216.07,Domain-spesifik,ya,tidak
pokonya,646,4264,212.72,1.3,5208.34,Domain-spesifik,ya,tidak
gunakan,3503,822910,1153.49,251.2,5189.91,Domain-spesifik,ya,tidak
job,1262,66796,415.56,20.39,5187.26,Domain-spesifik,ya,tidak
salah,943,5492155,310.52,1676.5,5113.3,Indo4B,ya,tidak
pascabayar,575,2485,189.34,0.76,5079.7,Domain-spesifik,ya,ya
mulu,738,10133,243.01,3.09,4932.81,Domain-spesifik,ya,tidak
layanannya,773,12537,254.54,3.83,4921.1,Domain-spesifik,ya,tidak
pelangan,527,1729,173.53,0.53,4912.16,Domain-spesifik,ya,tidak
upgrade,1162,59779,382.63,18.25,4838.48,Domain-spesifik,ya,tidak
beberapa,1399,6255204,460.67,1909.43,4817.89,Indo4B,ya,tidak
pelayan,1272,81370,418.85,24.84,4776.48,Domain-spesifik,ya,tidak
melayani,2354,395060,775.14,120.59,4774.26,Domain-spesifik,ya,tidak
menyala,1228,73838,404.36,22.54,4753.4,Domain-spesifik,ya,tidak
pemakaian,1784,217387,587.45,66.36,4604.36,Domain-spesifik,ya,tidak
sampe,1402,117395,461.66,35.84,4566.2,Domain-spesifik,ya,tidak
repot,1461,133222,481.09,40.67,4530.84,Domain-spesifik,ya,tidak
bikin,2270,395340,747.48,120.68,4462.84,Domain-spesifik,ya,tidak
digunakan,5930,2323762,1952.67,709.34,4451.87,Domain-spesifik,ya,tidak
suruh,972,40725,320.07,12.43,4424.94,Domain-spesifik,ya,tidak
terimaksih,555,3890,182.75,1.19,4412.91,Domain-spesifik,ya,tidak
permudah,493,2009,162.34,0.61,4407.04,Domain-spesifik,ya,tidak
rumah,8961,4371471,2950.73,1334.41,4399.62,Domain-spesifik,ya,tidak
info,3020,722863,994.44,220.66,4386.26,Domain-spesifik,ya,tidak
penangan,545,3816,179.46,1.16,4334.43,Domain-spesifik,ya,tidak
kalo,2922,701578,962.17,214.16,4229.86,Domain-spesifik,ya,tidak
indonesia,2016,6941952,663.84,2119.06,4155.94,Indo4B,ya,tidak
harga,871,4681587,286.81,1429.07,4137.67,Indo4B,ya,tidak
lambat,1618,200306,532.78,61.14,4130.72,Domain-spesifik,ya,tidak
lama,5382,2095772,1772.22,639.74,4083.65,Domain-spesifik,ya,tidak
skrg,778,23378,256.18,7.14,4034.75,Domain-spesifik,ya,tidak
masyarakat,7100,3236363,2337.93,987.91,4027.4,Domain-spesifik,ya,tidak
lancar,1734,252092,570.98,76.95,3940.96,Domain-spesifik,ya,tidak
